OBJECTID,DEPARTAMEN,PROVINCIA,DISTRITO,CAPITAL,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,GID_3
59,TACNA,CANDARAVE,CAMILACA,ALTO CAMILACA,1148,0,1148,100,0,0,1226,0.01,1226,100,0,0,813,70.82,0,0,0,0,0,0,646,56.27,292,23.82,347,0.02,299,0.02,500,0,56,56.27,813,70.82,61.5,0,0,0,PER.24.1.2_1
60,AREQUIPA,ISLAY,MEJIA,MEJIA,1172,0,1172,100,0,0,1199,0.01,1199,100,0,0,210,17.92,41,3.5,0,0,0,0,262,22.35,64,5.34,125,0.01,137,0.01,50,8,130,22.35,210,17.92,23.81,41,3.5,19.51,PER.4.7.4_1
61,PUNO,EL COLLAO,CAPAZO,CAPAZO,1130,0,1130,100,0,0,891,0.01,891,100,0,0,915,80.97,0,0,0,0,0,0,571,50.53,265,29.74,298,0.02,273,0.02,454,0,18,50.53,915,80.97,49.62,0,0,0,
62,TACNA,CANDARAVE,CANDARAVE,CANDARAVE,2354,0.01,2354,100,0,0,1664,0.02,1664,100,0,0,1435,60.96,0,0,0,0,0,0,713,30.29,247,14.84,381,0.02,332,0.02,439,0,111,30.29,1435,60.96,30.59,0,0,0,PER.24.1.3_1
63,AREQUIPA,ISLAY,ISLAY,ISLAY (MATARANI),5132,0.02,0,0,5132,100,2437,0.02,0,0,2437,100,0,0,0,0,681,13.27,294,0.04,0,0,0,0,0,0,0,0,0,0,0,0,681,13.27,0,294,5.73,0,PER.4.7.3_1
64,MOQUEGUA,MARISCAL NIETO,TORATA,TORATA,6198,0.02,2893,46.68,3305,53.32,4412,0.04,1916,43.43,2496,56.57,1057,36.54,31,1.07,819,24.78,34,0,394,13.62,139,7.25,217,0.01,177,0.01,101,1,222,13.62,1876,30.27,9.56,65,1.05,3.23,PER.19.3.6_1
65,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MOQUEGUA,65808,0.22,1747,2.65,64061,97.35,28227,0.28,1297,4.59,26930,95.41,628,35.95,14,0.8,21037,32.84,1042,0.15,719,41.16,343,26.45,403,0.02,316,0.02,346,3,274,41.16,21665,32.92,55.1,1056,1.6,21.43,PER.19.3.3_1
66,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,CUCHUMBAYA,761,0,761,100,0,0,878,0.01,878,100,0,0,492,64.65,3,0.39,0,0,0,0,163,21.42,66,7.52,80,0,83,0,96,0,31,21.42,492,64.65,19.51,3,0.39,0,PER.19.3.2_1
67,PUNO,CHUCUITO,PISACOMA,PISACOMA,8223,0.03,8223,100,0,0,2907,0.03,2907,100,0,0,7259,88.28,0,0,0,0,0,0,6733,81.88,2064,71,3544,0.19,3189,0.18,6002,0,15,81.88,7259,88.28,82.68,0,0,0,PER.22.3.5_1
68,AREQUIPA,ISLAY,COCACHACRA,COCACHACRA,8347,0.03,828,9.92,7519,90.08,4452,0.04,1225,27.52,3227,72.48,98,11.84,14,1.69,1813,24.11,138,0.02,396,47.83,147,12,218,0.01,178,0.01,38,8,276,47.83,1911,22.89,38.78,152,1.82,57.14,PER.4.7.1_1
69,AREQUIPA,ISLAY,MOLLENDO,MOLLENDO,24073,0.08,187,0.78,23886,99.22,10067,0.1,229,2.27,9838,97.73,35,18.72,3,1.6,2924,12.24,728,0.11,148,79.14,57,24.89,86,0,62,0,33,0,89,79.14,2959,12.29,94.29,731,3.04,0,PER.4.7.5_1
70,MOQUEGUA,GENERAL SANCHEZ CERRO,LA CAPILLA,LA CAPILLA,626,0,626,100,0,0,547,0.01,547,100,0,0,15,2.4,14,2.24,0,0,0,0,574,91.69,280,51.19,312,0.02,262,0.01,14,14,460,91.69,15,2.4,93.33,14,2.24,100,PER.19.1.4_1
71,AREQUIPA,CAMANA,CAMANA,CAMANA,13367,0.05,3,0.02,13364,99.98,4720,0.05,18,0.38,4702,99.62,1,33.33,0,0,1803,13.49,448,0.07,2,66.67,2,11.11,2,0,0,0,1,0,1,66.67,1804,13.5,100,448,3.35,0,PER.4.2.1_1
72,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS,QUINISTAQUILLAS,518,0,518,100,0,0,354,0,354,100,0,0,135,26.06,15,2.9,0,0,0,0,97,18.73,46,12.99,42,0,55,0,45,0,32,18.73,135,26.06,33.33,15,2.9,0,PER.19.1.9_1
73,AREQUIPA,CAMANA,JOSE MARIA QUIMPER,EL CARDO,4641,0.02,9,0.19,4632,99.81,2203,0.02,6,0.27,2197,99.73,2,22.22,0,0,777,16.77,162,0.02,8,88.89,3,50,1,0,7,0,2,0,4,88.89,779,16.79,100,162,3.49,0,PER.4.2.2_1
74,PUNO,CHUCUITO,KELLUYO,KELLUYO,7346,0.03,7346,100,0,0,4567,0.05,4567,100,0,0,5864,79.83,0,0,0,0,0,0,5513,75.05,2752,60.26,2827,0.15,2686,0.15,4468,0,46,75.05,5864,79.83,76.19,0,0,0,PER.22.3.4_1
75,MOQUEGUA,MARISCAL NIETO,SAN CRISTOBAL,CALACOA,1736,0.01,1736,100,0,0,1375,0.01,1375,100,0,0,1205,69.41,0,0,0,0,0,0,426,24.54,188,13.67,217,0.01,209,0.01,257,0,103,24.54,1205,69.41,21.33,0,0,0,PER.19.3.5_1
76,PUNO,CHUCUITO,DESAGUADERO,DESAGUADERO,13787,0.05,5285,38.33,8502,61.67,7448,0.07,3166,42.51,4282,57.49,4291,81.19,0,0,5550,65.28,0,0,4336,82.04,2203,69.58,2275,0.12,2061,0.11,3487,0,168,82.04,9841,71.38,81.26,0,0,0,PER.22.3.1_1
77,AREQUIPA,CAMANA,SAMUEL PASTOR,LA PAMPA,15950,0.05,395,2.48,15555,97.52,8733,0.09,596,6.82,8137,93.18,81,20.51,9,2.28,4315,27.74,410,0.06,62,15.7,19,3.19,30,0,32,0,6,1,41,15.7,4396,27.56,7.41,419,2.63,11.11,PER.4.2.8_1
78,AREQUIPA,AREQUIPA,QUEQUEA,QUEQUEA,4784,0.02,99,2.07,4685,97.93,4767,0.05,123,2.58,4644,97.42,28,28.28,0,0,1785,38.1,113,0.02,48,48.48,12,9.76,17,0,31,0,8,0,29,48.48,1813,37.9,28.57,113,2.36,0,PER.4.1.17_1
79,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,OMATE,3158,0.01,832,26.35,2326,73.65,1822,0.02,573,31.45,1249,68.55,20,2.4,11,1.32,434,18.66,42,0.01,370,44.47,135,23.56,195,0.01,175,0.01,10,7,282,44.47,454,14.38,50,53,1.68,63.64,PER.19.1.7_1
80,PUNO,EL COLLAO,SANTA ROSA,MAZO CRUZ,3529,0.01,3529,100,0,0,3011,0.03,3011,100,0,0,2747,77.84,1,0.03,0,0,0,0,1737,49.22,904,30.02,842,0.05,895,0.05,1361,0,15,49.22,2747,77.84,49.54,1,0.03,0,PER.22.4.5_1
81,AREQUIPA,AREQUIPA,YARABAMBA,YARABAMBA,1314,0,1314,100,0,0,1954,0.02,1954,100,0,0,171,13.01,37,2.82,0,0,0,0,623,47.41,257,13.15,302,0.02,321,0.02,92,22,377,47.41,171,13.01,53.8,37,2.82,59.46,PER.4.1.29_1
82,AREQUIPA,AREQUIPA,POLOBAYA,POLOBAYA GRANDE,837,0,837,100,0,0,621,0.01,621,100,0,0,111,13.26,3,0.36,0,0,0,0,436,52.09,151,24.32,213,0.01,223,0.01,47,3,301,52.09,111,13.26,42.34,3,0.36,100,PER.4.1.16_1
83,AREQUIPA,AREQUIPA,MOLLEBAYA,MOLLEBAYA,4756,0.02,554,11.65,4202,88.35,4220,0.04,1544,36.59,2676,63.41,193,34.84,25,4.51,1477,35.15,68,0.01,505,91.16,274,17.75,267,0.01,238,0.01,176,25,212,91.16,1670,35.11,91.19,93,1.96,100,PER.4.1.13_1
84,MOQUEGUA,MARISCAL NIETO,CARUMAS,CARUMAS,2366,0.01,2366,100,0,0,2048,0.02,2048,100,0,0,1440,60.86,0,0,0,0,0,0,585,24.73,216,10.55,287,0.02,298,0.02,343,0,104,24.73,1440,60.86,23.82,0,0,0,PER.19.3.1_1
85,MOQUEGUA,GENERAL SANCHEZ CERRO,PUQUINA,PUQUINA,2376,0.01,2376,100,0,0,1580,0.02,1580,100,0,0,1684,70.88,2,0.08,0,0,0,0,1953,82.2,811,51.33,969,0.05,984,0.05,1421,2,212,82.2,1684,70.88,84.38,2,0.08,100,PER.19.1.8_1
86,AREQUIPA,CAMANA,QUILCA,QUILCA,943,0,943,100,0,0,690,0.01,690,100,0,0,101,10.71,23,2.44,0,0,0,0,480,50.9,158,22.9,270,0.01,210,0.01,59,16,276,50.9,101,10.71,58.42,23,2.44,69.57,PER.4.2.7_1
87,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,COALAQUE,948,0,948,100,0,0,739,0.01,739,100,0,0,124,13.08,8,0.84,0,0,0,0,182,19.2,57,7.71,84,0,98,0.01,15,0,117,19.2,124,13.08,12.1,8,0.84,0,PER.19.1.2_1
88,PUNO,CHUCUITO,HUACULLANI,HUACULLANI,9237,0.03,6771,73.3,2466,26.7,3468,0.03,3211,92.59,257,7.41,5554,82.03,0,0,2102,85.24,0,0,4950,73.11,2176,67.77,2616,0.14,2334,0.13,4026,0,10,73.11,7656,82.88,72.49,0,0,0,PER.22.3.2_1
89,AREQUIPA,AREQUIPA,SOCABAYA,SOCABAYA,75351,0.26,439,0.58,74912,99.42,22848,0.23,605,2.65,22243,97.35,115,26.2,1,0.23,18674,24.93,1284,0.19,123,28.02,42,6.94,65,0,58,0,27,1,75,28.02,18789,24.94,23.48,1285,1.71,100,PER.4.1.24_1
90,AREQUIPA,AREQUIPA,POCSI,POCSI,445,0,445,100,0,0,450,0,450,100,0,0,22,4.94,0,0,0,0,0,0,117,26.29,36,8,53,0,64,0,5,0,89,26.29,22,4.94,22.73,0,0,0,PER.4.1.15_1
91,AREQUIPA,AREQUIPA,JACOBO HUNTER,JACOBO HUNTER,50164,0.17,19,0.04,50145,99.96,13195,0.13,91,0.69,13104,99.31,7,36.84,1,5.26,13614,27.15,831,0.12,4,21.05,1,1.1,2,0,2,0,2,0,0,21.05,13621,27.15,28.57,832,1.66,0,PER.4.1.7_1
92,AREQUIPA,AREQUIPA,SABANDIA,SABANDIA,4368,0.01,11,0.25,4357,99.75,1523,0.02,28,1.84,1495,98.16,6,54.55,0,0,779,17.88,122,0.02,0,0,0,0,0,0,0,0,0,0,0,0,785,17.97,0,122,2.79,0,PER.4.1.18_1
93,PUNO,EL COLLAO,CONDURIRI,CONDURIRI,2529,0.01,2529,100,0,0,2052,0.02,2052,100,0,0,2094,82.8,0,0,0,0,0,0,1556,61.53,669,32.6,777,0.04,779,0.04,1248,0,5,61.53,2094,82.8,59.6,0,0,0,PER.22.4.2_1
94,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,CIUDAD SATELITE,81829,0.28,0,0,81829,100,23866,0.24,0,0,23866,100,0,0,0,0,13316,16.27,1187,0.17,0,0,0,0,0,0,0,0,0,0,0,0,13316,16.27,0,1187,1.45,0,PER.4.1.8_1
95,AREQUIPA,AREQUIPA,TIABAYA,TIABAYA,16191,0.06,426,2.63,15765,97.37,4578,0.05,246,5.37,4332,94.63,129,30.28,2,0.47,3859,24.48,338,0.05,217,50.94,57,23.17,110,0.01,107,0.01,74,1,92,50.94,3988,24.63,57.36,340,2.1,50,PER.4.1.25_1
96,AREQUIPA,AREQUIPA,SACHACA,SACHACA,24225,0.08,0,0,24225,100,7940,0.08,0,0,7940,100,0,0,0,0,5246,21.66,477,0.07,0,0,0,0,0,0,0,0,0,0,0,0,5246,21.66,0,477,1.97,0,PER.4.1.19_1
97,AREQUIPA,AREQUIPA,CHARACATO,CHARACATO,12949,0.04,538,4.15,12411,95.85,6749,0.07,344,5.1,6405,94.9,54,10.04,15,2.79,3281,26.44,293,0.04,142,26.39,54,15.7,68,0,74,0,20,4,102,26.39,3335,25.75,37.04,308,2.38,26.67,PER.4.1.5_1
98,AREQUIPA,AREQUIPA,LA JOYA,LA JOYA,32019,0.11,3810,11.9,28209,88.1,20557,0.2,2701,13.14,17856,86.86,1039,27.27,126,3.31,11015,39.05,703,0.1,2063,54.15,642,23.77,1060,0.06,1003,0.06,587,82,951,54.15,12054,37.65,56.5,829,2.59,65.08,PER.4.1.9_1
99,AREQUIPA,AREQUIPA,PAUCARPATA,PAUCARPATA,131346,0.45,0,0,131346,100,36101,0.36,0,0,36101,100,0,0,0,0,38984,29.68,1854,0.27,0,0,0,0,0,0,0,0,0,0,0,0,38984,29.68,0,1854,1.41,0,PER.4.1.14_1
100,AREQUIPA,AREQUIPA,SANTA RITA DE SIGUAS,SANTA RITA DE SIGUAS,6318,0.02,199,3.15,6119,96.85,2276,0.02,97,4.26,2179,95.74,46,23.12,2,1.01,2182,35.66,132,0.02,49,24.62,19,19.59,21,0,28,0,3,0,41,24.62,2228,35.26,6.52,134,2.12,0,PER.4.1.23_1
101,AREQUIPA,AREQUIPA,AREQUIPA,AREQUIPA,55437,0.19,0,0,55437,100,18270,0.18,0,0,18270,100,0,0,0,0,7138,12.88,669,0.1,0,0,0,0,0,0,0,0,0,0,0,0,7138,12.88,0,669,1.21,0,PER.4.1.2_1
102,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,MATALAQUE,455,0,455,100,0,0,550,0.01,550,100,0,0,292,64.18,4,0.88,0,0,0,0,125,27.47,55,10,62,0,63,0,76,1,22,27.47,292,64.18,26.03,4,0.88,25,PER.19.1.6_1
103,AREQUIPA,AREQUIPA,YANAHUARA,YANAHUARA,25417,0.09,0,0,25417,100,9071,0.09,0,0,9071,100,0,0,0,0,1999,7.86,252,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1999,7.86,0,252,0.99,0,PER.4.1.28_1
104,AREQUIPA,AREQUIPA,UCHUMAYO,UCHUMAYO,14054,0.05,735,5.23,13319,94.77,6310,0.06,661,10.48,5649,89.52,192,26.12,2,0.27,2933,22.02,289,0.04,349,47.48,134,20.27,174,0.01,175,0.01,88,0,171,47.48,3125,22.24,45.83,291,2.07,0,PER.4.1.26_1
105,AREQUIPA,CAMANA,NICOLAS DE PIEROLA,SAN GREGORIO,7106,0.02,121,1.7,6985,98.3,3517,0.03,402,11.43,3115,88.57,36,29.75,0,0,1262,18.07,253,0.04,108,89.26,88,21.89,72,0,36,0,35,0,67,89.26,1298,18.27,97.22,253,3.56,0,PER.4.2.5_1
106,PUNO,CHUCUITO,ZEPITA,ZEPITA,16929,0.06,14723,86.97,2206,13.03,10420,0.1,8872,85.14,1548,14.86,11730,79.67,0,0,1619,73.39,0,0,8666,58.86,3206,36.14,4300,0.23,4366,0.24,6467,0,15,58.86,13349,78.85,55.13,0,0,0,PER.22.3.7_1
107,AREQUIPA,AREQUIPA,SAN JUAN DE SIGUAS,SAN JUAN DE SIGUAS /2,611,0,611,100,0,0,337,0,337,100,0,0,118,19.31,8,1.31,0,0,0,0,132,21.6,33,9.79,72,0,60,0,21,3,65,21.6,118,19.31,17.8,8,1.31,37.5,PER.4.1.20_1
108,PUNO,YUNGUYO,COPANI,COPANI,4655,0.02,4655,100,0,0,2703,0.03,2703,100,0,0,3714,79.79,0,0,0,0,0,0,1887,40.54,527,19.5,923,0.05,964,0.05,1310,0,45,40.54,3714,79.79,35.27,0,0,0,PER.22.14.2_1
109,AREQUIPA,AREQUIPA,MARIANO MELGAR,MARIANO MELGAR,59918,0.2,0,0,59918,100,20577,0.2,0,0,20577,100,0,0,0,0,15310,25.55,939,0.14,0,0,0,0,0,0,0,0,0,0,0,0,15310,25.55,0,939,1.57,0,PER.4.1.11_1
110,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA,CHOJATA,708,0,708,100,0,0,792,0.01,792,100,0,0,535,75.56,0,0,0,0,0,0,191,26.98,72,9.09,94,0.01,97,0.01,125,0,6,26.98,535,75.56,23.36,0,0,0,PER.19.1.1_1
111,AREQUIPA,CAMANA,MARISCAL CACERES,SAN JOSE,6195,0.02,413,6.67,5782,93.33,3297,0.03,476,14.44,2821,85.56,202,48.91,0,0,1566,27.08,171,0.02,192,46.49,86,18.07,100,0.01,92,0.01,102,0,45,46.49,1768,28.54,50.5,171,2.76,0,PER.4.2.4_1
112,AREQUIPA,AREQUIPA,MIRAFLORES,MIRAFLORES,60589,0.21,0,0,60589,100,17836,0.18,0,0,17836,100,0,0,0,0,13782,22.75,939,0.14,0,0,0,0,0,0,0,0,0,0,0,0,13782,22.75,0,939,1.55,0,PER.4.1.12_1
113,AREQUIPA,AREQUIPA,CHIGUATA,CHIGUATA,2939,0.01,695,23.65,2244,76.35,2269,0.02,873,38.48,1396,61.52,216,31.08,1,0.14,817,36.41,42,0.01,255,36.69,102,11.68,141,0.01,114,0.01,84,0,113,36.69,1033,35.15,38.89,43,1.46,0,PER.4.1.6_1
114,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,SELVA ALEGRE,85870,0.29,0,0,85870,100,28729,0.28,0,0,28729,100,0,0,0,0,22844,26.6,1441,0.21,0,0,0,0,0,0,0,0,0,0,0,0,22844,26.6,0,1441,1.68,0,PER.4.1.1_1
115,PUNO,YUNGUYO,CUTURAPI,SAN JUAN DE CUTURAPI,1270,0,1270,100,0,0,1186,0.01,1186,100,0,0,1072,84.41,0,0,0,0,0,0,337,26.54,90,7.59,174,0.01,163,0.01,265,0,2,26.54,1072,84.41,24.72,0,0,0,PER.22.14.3_1
116,PUNO,CHUCUITO,POMATA,POMATA,13707,0.05,10868,79.29,2839,20.71,9417,0.09,7641,81.14,1776,18.86,8887,81.77,0,0,2109,74.29,0,0,5398,49.67,1667,21.82,2649,0.14,2749,0.15,4124,0,8,49.67,10996,80.22,46.4,0,0,0,PER.22.3.6_1
117,PUNO,YUNGUYO,ANAPIA,ANAPIA,1782,0.01,1782,100,0,0,611,0.01,611,100,0,0,1454,81.59,0,0,0,0,0,0,665,37.32,187,30.61,311,0.02,354,0.02,541,0,7,37.32,1454,81.59,37.21,0,0,0,PER.22.14.1_1
118,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,LLOQUE,570,0,570,100,0,0,380,0,380,100,0,0,422,74.04,0,0,0,0,0,0,161,28.25,52,13.68,88,0,73,0,108,0,16,28.25,422,74.04,25.59,0,0,0,PER.19.1.5_1
119,PUNO,YUNGUYO,UNICACHI,MARCAJA,1057,0,1057,100,0,0,1048,0.01,1048,100,0,0,921,87.13,0,0,0,0,0,0,232,21.95,84,8.02,117,0.01,115,0.01,174,0,10,21.95,921,87.13,18.89,0,0,0,PER.22.14.6_1
120,PUNO,YUNGUYO,YUNGUYO,YUNGUYO,24515,0.08,12749,52,11766,48,14655,0.14,8587,58.59,6068,41.41,10578,82.97,0,0,7852,66.73,0,0,5278,41.4,1603,18.67,2565,0.14,2713,0.15,4067,0,32,41.4,18430,75.18,38.45,0,0,0,PER.22.14.7_1
121,PUNO,YUNGUYO,OLLARAYA,SAN MIGUEL DE OLLARAYA,2711,0.01,2711,100,0,0,2134,0.02,2134,100,0,0,2459,90.7,0,0,0,0,0,0,1000,36.89,429,20.1,491,0.03,509,0.03,853,0,2,36.89,2459,90.7,34.69,0,0,0,PER.22.14.4_1
122,AREQUIPA,AREQUIPA,CERRO COLORADO,LA LIBERTAD,197954,0.67,223,0.11,197731,99.89,80461,0.79,230,0.29,80231,99.71,59,26.46,1,0.45,66416,33.59,2885,0.42,144,64.57,48,20.87,65,0,79,0,33,0,70,64.57,66475,33.58,55.93,2886,1.46,0,PER.4.1.4_1
123,PUNO,YUNGUYO,TINICACHI,TINICACHI,949,0,949,100,0,0,421,0,421,100,0,0,650,68.49,0,0,0,0,0,0,224,23.6,61,14.49,103,0.01,121,0.01,166,0,1,23.6,650,68.49,25.54,0,0,0,PER.22.14.5_1
124,PUNO,CHUCUITO,JULI,JULI,19773,0.07,11625,58.79,8148,41.21,13160,0.13,9196,69.88,3964,30.12,9525,81.94,0,0,5958,73.12,1,0,6004,51.65,2423,26.35,2956,0.16,3048,0.17,4683,0,31,51.65,15483,78.3,49.17,1,0.01,0,PER.22.3.3_1
125,AREQUIPA,AREQUIPA,CAYMA,CAYMA,91935,0.31,13,0.01,91922,99.99,33147,0.33,26,0.08,33121,99.92,3,23.08,0,0,26713,29.06,1110,0.16,10,76.92,5,19.23,7,0,3,0,3,0,7,76.92,26716,29.06,100,1110,1.21,0,PER.4.1.3_1
126,MOQUEGUA,GENERAL SANCHEZ CERRO,YUNGA,YUNGA,864,0,864,100,0,0,484,0,484,100,0,0,694,80.32,0,0,0,0,0,0,330,38.19,130,26.86,171,0.01,159,0.01,248,0,4,38.19,694,80.32,35.73,0,0,0,PER.19.1.11_1
127,AREQUIPA,AREQUIPA,VITOR,VITOR,3610,0.01,3610,100,0,0,4283,0.04,4283,100,0,0,1085,30.06,130,3.6,0,0,0,0,1647,45.62,693,16.18,840,0.05,807,0.04,547,43,683,45.62,1085,30.06,50.41,130,3.6,33.08,PER.4.1.27_1
128,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS,SANTA ISABEL DE SIGUAS,682,0,682,100,0,0,607,0.01,607,100,0,0,209,30.65,23,3.37,0,0,0,0,559,81.96,215,35.42,317,0.02,242,0.01,147,19,299,81.96,209,30.65,70.33,23,3.37,82.61,PER.4.1.22_1
129,AREQUIPA,CASTILLA,URACA,CORIRE,6266,0.02,2125,33.91,4141,66.09,2373,0.02,828,34.89,1545,65.11,346,16.28,151,7.11,758,18.3,179,0.03,838,39.44,218,26.33,426,0.02,412,0.02,152,60,428,39.44,1104,17.62,43.93,330,5.27,39.74,PER.4.4.13_1
130,AREQUIPA,CAYLLOMA,MAJES,EL PEDREGAL,60108,0.2,9776,16.26,50332,83.74,33758,0.33,5064,15,28694,85,2611,26.71,227,2.32,20207,40.15,1163,0.17,2975,30.43,704,13.9,1487,0.08,1488,0.08,904,54,1081,30.43,22818,37.96,34.62,1390,2.31,23.79,
131,AREQUIPA,CAMANA,OCOA,OCOA,4171,0.01,621,14.89,3550,85.11,2120,0.02,538,25.38,1582,74.62,55,8.86,19,3.06,328,9.24,114,0.02,439,70.69,177,32.9,255,0.01,184,0.01,28,5,329,70.69,383,9.18,50.91,133,3.19,26.32,PER.4.2.6_1
132,PUNO,EL COLLAO,PILCUYO,PILCUYO,10672,0.04,10672,100,0,0,10109,0.1,10109,100,0,0,9183,86.05,0,0,0,0,0,0,9710,90.99,4545,44.96,4709,0.26,5001,0.28,8398,0,51,90.99,9183,86.05,91.45,0,0,0,PER.22.4.4_1
133,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUA,ICHUA,2901,0.01,2901,100,0,0,2973,0.03,2973,100,0,0,2313,79.73,0,0,0,0,0,0,1737,59.88,842,28.32,875,0.05,862,0.05,1401,0,6,59.88,2313,79.73,60.57,0,0,0,PER.19.1.3_1
134,PUNO,PUNO,SAN ANTONIO,SAN ANTONIO DE ESQUILACHE /15,2413,0.01,2413,100,0,0,1302,0.01,1302,100,0,0,1890,78.33,0,0,0,0,0,0,1889,78.28,756,58.06,946,0.05,943,0.05,1481,0,4,78.28,1890,78.33,78.36,0,0,0,PER.22.10.14_1
135,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,UBINAS,1741,0.01,1741,100,0,0,1474,0.01,1474,100,0,0,1027,58.99,0,0,0,0,0,0,806,46.3,311,21.1,413,0.02,393,0.02,454,0,185,46.3,1027,58.99,44.21,0,0,0,PER.19.1.10_1
136,PUNO,PUNO,PICHACANI,LARAQUERI,5679,0.02,3251,57.25,2428,42.75,4738,0.05,3103,65.49,1635,34.51,2681,82.47,0,0,1852,76.28,1,0,1954,60.1,901,29.04,950,0.05,1004,0.06,1588,0,4,60.1,4533,79.82,59.23,1,0.02,0,PER.22.10.11_1
137,AREQUIPA,AREQUIPA,YURA,YURA,33346,0.11,475,1.42,32871,98.58,35402,0.35,622,1.76,34780,98.24,190,40,19,4,15958,48.55,505,0.07,277,58.32,109,17.52,156,0.01,121,0.01,77,15,136,58.32,16148,48.43,40.53,524,1.57,78.95,PER.4.1.30_1
138,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI,TARUCANI,1377,0,1377,100,0,0,950,0.01,950,100,0,0,931,67.61,0,0,0,0,0,0,704,51.13,298,31.37,345,0.02,359,0.02,516,0,60,51.13,931,67.61,55.42,0,0,0,PER.4.1.21_1
139,AREQUIPA,CAYLLOMA,HUANCA,HUANCA,1010,0,1010,100,0,0,810,0.01,810,100,0,0,104,10.3,2,0.2,0,0,0,0,403,39.9,135,16.67,213,0.01,190,0.01,47,1,277,39.9,104,10.3,45.19,2,0.2,50,PER.4.5.8_1
140,PUNO,PUNO,CHUCUITO,CHUCUITO,7019,0.02,7019,100,0,0,4899,0.05,4899,100,0,0,5626,80.15,0,0,0,0,0,0,2443,34.81,772,15.76,1178,0.06,1265,0.07,1886,0,18,34.81,5626,80.15,33.52,0,0,0,PER.22.10.5_1
141,AREQUIPA,CAMANA,MARIANO NICOLAS VALCARCEL,URASQUI,6997,0.02,6997,100,0,0,3619,0.04,3619,100,0,0,2842,40.62,205,2.93,0,0,0,0,5404,77.23,2132,58.91,2911,0.16,2493,0.14,2192,159,1582,77.23,2842,40.62,77.13,205,2.93,77.56,PER.4.2.3_1
142,AREQUIPA,CASTILLA,HUANCARQUI,HUANCARQUI,1472,0.01,1472,100,0,0,772,0.01,772,100,0,0,220,14.95,38,2.58,0,0,0,0,417,28.33,137,17.75,219,0.01,198,0.01,95,9,207,28.33,220,14.95,43.18,38,2.58,23.68,PER.4.4.7_1
143,AREQUIPA,CONDESUYOS,IRAY,IRAY,595,0,595,100,0,0,376,0,376,100,0,0,65,10.92,12,2.02,0,0,0,0,245,41.18,74,19.68,116,0.01,129,0.01,45,4,132,41.18,65,10.92,69.23,12,2.02,33.33,PER.4.6.5_1
144,AREQUIPA,CASTILLA,APLAO,APLAO,8435,0.03,1687,20,6748,80,4105,0.04,1158,28.21,2947,71.79,314,18.61,32,1.9,1076,15.95,253,0.04,622,36.87,194,16.75,316,0.02,306,0.02,114,15,351,36.87,1390,16.48,36.31,285,3.38,46.88,PER.4.4.2_1
145,PUNO,PUNO,PUNO,PUNO,135288,0.46,5366,3.97,129922,96.03,52515,0.52,4380,8.34,48135,91.66,4298,80.1,0,0,82566,63.55,11,0,3818,71.15,1458,33.29,1896,0.1,1922,0.11,2980,0,41,71.15,86864,64.21,69.33,11,0.01,0,PER.22.10.13_1
146,PUNO,PUNO,TIQUILLACA,TIQUILLACA,1594,0.01,1594,100,0,0,1438,0.01,1438,100,0,0,1248,78.29,1,0.06,0,0,0,0,757,47.49,288,20.03,368,0.02,389,0.02,545,1,54,47.49,1248,78.29,43.67,1,0.06,100,PER.22.10.15_1
147,AREQUIPA,CARAVELI,ATICO,ATICO,5215,0.02,683,13.1,4532,86.9,2230,0.02,286,12.83,1944,87.17,212,31.04,21,3.07,633,13.97,258,0.04,286,41.87,93,32.52,155,0.01,131,0.01,42,4,173,41.87,845,16.2,19.81,279,5.35,19.05,PER.4.3.2_1
