OBJECTID,DEPARTAMEN,PROVINCIA,DISTRITO,CAPITAL,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,GID_3
1509,LA LIBERTAD,OTUZCO,AGALLPAMPA,AGALLPAMPA,9252,0.03,9252,100,0,0,3972,0.04,3972,100,0,0,23,0.25,114,1.23,0,0,0,0,5919,63.98,1459,36.73,2929,0.16,2990,0.17,16,68,3920,63.98,23,0.25,69.57,114,1.23,59.65,PER.13.6.1_1
1510,LA LIBERTAD,OTUZCO,LA CUESTA,LA CUESTA,614,0,614,100,0,0,343,0,343,100,0,0,0,0,56,9.12,0,0,0,0,342,55.7,90,26.24,179,0.01,163,0.01,0,24,206,55.7,0,0,0,56,9.12,42.86,PER.13.6.4_1
1511,LA LIBERTAD,SANCHEZ CARRION,SARIN,SARIN,8916,0.03,6809,76.37,2107,23.63,2805,0.03,2105,75.04,700,24.96,54,0.79,195,2.86,10,0.47,87,0.01,4646,68.23,990,47.03,2267,0.12,2379,0.13,37,118,2751,68.23,64,0.72,68.52,282,3.16,60.51,PER.13.9.7_1
1512,LA LIBERTAD,SANCHEZ CARRION,CURGOS,CURGOS,7822,0.03,7822,100,0,0,2588,0.03,2588,100,0,0,9,0.12,3,0.04,0,0,0,0,5049,64.55,1112,42.97,2482,0.14,2567,0.14,1,1,3319,64.55,9,0.12,11.11,3,0.04,33.33,PER.13.9.3_1
1513,LA LIBERTAD,PATAZ,PIAS,PIAS,1656,0.01,1656,100,0,0,624,0.01,624,100,0,0,18,1.09,178,10.75,0,0,0,0,761,45.95,153,24.52,381,0.02,380,0.02,4,79,413,45.95,18,1.09,22.22,178,10.75,44.38,PER.13.8.9_1
1514,LA LIBERTAD,OTUZCO,CHARAT,CHARAT,2420,0.01,2420,100,0,0,1807,0.02,1807,100,0,0,4,0.17,48,1.98,0,0,0,0,1537,63.51,476,26.34,777,0.04,760,0.04,3,21,1089,63.51,4,0.17,75,48,1.98,43.75,PER.13.6.2_1
1515,LA LIBERTAD,OTUZCO,OTUZCO,OTUZCO,24169,0.08,10696,44.26,13473,55.74,9559,0.09,4715,49.33,4844,50.67,319,2.98,121,1.13,736,5.46,826,0.12,7412,69.3,1939,41.12,3706,0.2,3706,0.21,241,63,4839,69.3,1055,4.37,75.55,947,3.92,52.07,PER.13.6.6_1
1516,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,HUAMACHUCO,66902,0.23,22831,34.13,44071,65.87,20183,0.2,8180,40.53,12003,59.47,296,1.3,617,2.7,1679,3.81,164,0.02,15218,66.65,3315,40.53,7437,0.41,7781,0.43,151,397,9429,66.65,1975,2.95,51.01,781,1.17,64.34,PER.13.9.4_1
1517,LA LIBERTAD,SANCHEZ CARRION,COCHORCO,ARICAPAMPA,8398,0.03,8398,100,0,0,2841,0.03,2841,100,0,0,145,1.73,518,6.17,0,0,0,0,4998,59.51,1061,37.35,2483,0.14,2515,0.14,86,268,2735,59.51,145,1.73,59.31,518,6.17,51.74,PER.13.9.2_1
1518,SAN MARTIN,TOCACHE,POLVORA,POLVORA,10308,0.04,7263,70.46,3045,29.54,3616,0.04,2549,70.49,1067,29.51,313,4.31,243,3.35,155,5.09,79,0.01,4094,56.37,1021,40.05,2170,0.12,1924,0.11,142,118,2442,56.37,468,4.54,45.37,322,3.12,48.56,PER.23.10.2_1
1519,LA LIBERTAD,OTUZCO,USQUIL,USQUIL,21388,0.07,17779,83.13,3609,16.87,8779,0.09,6972,79.42,1807,20.58,196,1.1,1160,6.52,36,1,233,0.03,11341,63.79,2766,39.67,5683,0.31,5658,0.31,98,739,6785,63.79,232,1.08,50,1393,6.51,63.71,PER.13.6.10_1
1520,LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,SANAGORAN,12922,0.04,12922,100,0,0,3966,0.04,3966,100,0,0,48,0.37,314,2.43,0,0,0,0,10078,77.99,2347,59.18,4908,0.27,5170,0.29,33,205,6285,77.99,48,0.37,68.75,314,2.43,65.29,PER.13.9.6_1
1521,LA LIBERTAD,SANCHEZ CARRION,CHUGAY,CHUGAY,16769,0.06,14642,87.32,2127,12.68,5483,0.05,4675,85.26,808,14.74,183,1.25,1377,9.4,29,1.36,132,0.02,10944,74.74,2745,58.72,5381,0.29,5563,0.31,118,938,6123,74.74,212,1.26,64.48,1509,9,68.12,PER.13.9.1_1
1522,LA LIBERTAD,OTUZCO,HUARANCHAL,HUARANCHAL,3940,0.01,3940,100,0,0,2151,0.02,2151,100,0,0,20,0.51,177,4.49,0,0,0,0,2126,53.96,507,23.57,1096,0.06,1030,0.06,10,53,1367,53.96,20,0.51,50,177,4.49,29.94,PER.13.6.3_1
1523,LA LIBERTAD,PATAZ,PATAZ,PATAZ,8937,0.03,5845,65.4,3092,34.6,2243,0.02,1349,60.14,894,39.86,411,7.03,508,8.69,61,1.97,375,0.05,3023,51.72,600,44.48,1550,0.08,1473,0.08,130,269,1462,51.72,472,5.28,31.63,883,9.88,52.95,PER.13.8.8_1
1524,SAN MARTIN,PICOTA,TINGO DE PONASA,TINGO DE PONASA,3876,0.01,1343,34.65,2533,65.35,1473,0.01,485,32.93,988,67.07,4,0.3,38,2.83,14,0.55,31,0,867,64.56,197,40.62,457,0.02,410,0.02,4,21,548,64.56,18,0.46,100,69,1.78,55.26,PER.23.7.9_1
